teks_terjemah,Label_Asli,Prediksi_NB,Prediksi_SVM
thank you girls by the way play romantic horror game handsome ghost game title homicipher link video gurls next try caleb's story guys let's join discord rame indonesia looking for friends festival motionime fest coming soon,Negative,Negative,Negative
watch it again,Neutral,Neutral,Neutral
"Bro, Windah loves playing this game. I'm really happy to watch this again",Positive,Positive,Positive
peak comedy eh gin anjir it doesn't work handsome anying,Positive,Positive,Positive
bro,Neutral,Neutral,Neutral
Xavier my story bro,Neutral,Neutral,Neutral
"finally bro, thanks for playing the game",Negative,Positive,Negative
full screenshot,Positive,Positive,Positive
"Keep your spirits up, Windahhh",Neutral,Neutral,Neutral
I came here because I knew my husband was playing games,Neutral,Neutral,Neutral
i love sylus,Positive,Positive,Positive
a little amused to watch,Negative,Negative,Negative
,Neutral,Neutral,Neutral
"bro, unlock the caleb story, homecoming wings, lahhhhhhh, caleb's story is complicated, bro, exciting, tragic, dramatic, handsome",Negative,Positive,Positive
,Neutral,Neutral,Neutral
It's really hard to tell Zayne apart,Negative,Positive,Negative
"Bro, Winda is ugly",Negative,Neutral,Negative
"Bro, actually, you're reviewing the star of BattleTraining, laughing or not, don't you try it?",Neutral,Neutral,Neutral
"Honestly, the girl's game is cool, but the boy character designs are really crazy, really expensive designs",Negative,Positive,Negative
said so cool screenshot,Positive,Positive,Positive
love you bro windah main,Positive,Positive,Positive
Proud to continue Fear and Hunger bro,Positive,Positive,Positive
febrianputratriatama handsome febri,Positive,Positive,Positive
gg bro bocil sylus sorry spam sylus hehe thank you bro brando,Negative,Neutral,Neutral
lopyuuu bro windahh,Neutral,Neutral,Neutral
"thanks bro, for the review of the game I like, stay healthy, bro",Positive,Positive,Positive
no papa windah,Neutral,Neutral,Neutral
"Respect, thanks bro, Windah for playing",Positive,Positive,Positive
"really lopee, bro, beautiful",Positive,Positive,Positive
"bro, isn't it dragging?",Neutral,Neutral,Neutral
cool bro little boy rafayel,Positive,Positive,Positive
bro homichiper,Neutral,Neutral,Neutral
Gas playing games again bro,Neutral,Neutral,Neutral
proud to play the game homichiperrr plssss check it out banh sereettt,Positive,Positive,Positive
"Wow, just keep talking homichiper",Positive,Positive,Positive
gg bang bang rafayel caleb,Neutral,Neutral,Neutral
gg by the way bocil sylus bro,Neutral,Neutral,Neutral
gg bro little boy caleb,Negative,Neutral,Negative
