text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
"Thank You Girls! Btw aku juga main game horor romantis hantu ganteng, judul gamenya Homicipher.
Ini link videonya Gurls: https://www.youtube.com/watch?v=ynNGYMdDZZw&t=9s
Next kita cobain Story nya Caleb guys!

Yuk Join Discord paling rame se-Indonesia buat cari temen!: https://discord.com/invite/motionime
Festival Motionime Fest coming soon 2025: https://www.instagram.com/motionimefest",thank you girls btw aku juga main game horor romantis hantu ganteng judul gamenya homicipher ini link videonya gurls next kita cobain story nya caleb guys yuk join discord paling rame seindonesia buat cari temen festival motionime fest coming soon,thank you girls by the way aku juga main game horor romantis hantu ganteng judul gamenya homicipher ini link videonya gurls next kita cobain story nya caleb guys yuk join discord paling rame seindonesia buat cari temen festival motionime fest coming soon,thank you girls by the way main game horor romantis hantu ganteng judul gamenya homicipher link videonya gurls next cobain story nya caleb guys yuk join discord rame seindonesia cari temen festival motionime fest coming soon,thank you girls by the way main game horor romantis hantu ganteng judul gamenya homicipher link video gurls next cobain story nya caleb guys yuk join discord rame indonesia cari temen festival motionime fest coming soon,thank you girls by the way play romantic horror game handsome ghost game title homicipher link video gurls next try caleb's story guys let's join discord rame indonesia looking for friends motionime fest festival coming soon
ngulang nonton 💙,ngulang nonton,mengulang nonton,mengulang nonton,ulang nonton,watch it again
AKU SUKA BANG WINDAH MAIN GAME INIII HAPPY BGTTTTT❤❤ AKU NGULANG LAGI NONTON INII,aku suka bang windah main game iniii happy bgttttt aku ngulang lagi nonton inii,aku suka bang windah main game ini happy banget aku mengulang lagi nonton inii,suka bang windah main game happy banget mengulang nonton inii,suka bang windah main game happy banget ulang nonton ini,"Bro, Windah likes playing games, really happy to watch this again"
"puncak komedi ""eh tapi gini anj. it doesn't work, dia ganteng anying""",puncak komedi eh tapi gini anj it doesnt work dia ganteng anying,puncak komedi eh tapi gini anjir it doesnt work dia ganteng anying,puncak komedi eh gini anjir it doesnt work ganteng anying,puncak komedi eh gin anjir it doesnt work ganteng anying,peak comedy eh gin anjir it doesn't work handsome anying
bang,bang,bang,bang,bang,bro
xavier itu my kisah bg,xavier itu my kisah bg,xavier itu my kisah bang,xavier my kisah bang,xavier my kisah bang,Xavier my story bro
finally bang makasih udah mainin game ini😊,finally bang makasih udah mainin game ini,finally bang makasih sudah mainin game ini,finally bang makasih mainin game,finally bang makasih mainin game,"finally bro, thanks for playing the game"
ini yg full skrinsut itu bukan😂,ini yg full skrinsut itu bukan,ini yang full skrinsut itu bukan,full skrinsut,full skrinsut,full screenshot
semangat bang windahhh,semangat bang windahhh,semangat bang windahhh,semangat bang windahhh,semangat bang windahhh,"Keep your spirits up, Windahhh"
"kesini gr"" tau bg windah main game ada suami ku😂😞",kesini gr tau bg windah main game ada suami ku,kesini gara-gara tau bang windah main game ada suami ku,kesini gara-gara tau bang windah main game suami ku,kesini gara-gara tau bang windah main game suami ku,I came here because I knew my husband was playing games
I LOVE SYLUS!!❤️⚪,i love sylus,i love sylus,i love sylus,i love sylus,i love sylus
geli dikit tapi tetap nonton,geli dikit tapi tetap nonton,geli dikit tapi tetap nonton,geli dikit nonton,geli dikit nonton,a little amused to watch
2:26:20,,,,,
BANG UNLOCK CALEB DI STORY HOMECOMING WINGS LAHHHHHHH CALEB STORY NYA COMPLICATED BANG SERU TRAGIS DRAMATIS GANTENG,bang unlock caleb di story homecoming wings lahhhhhhh caleb story nya complicated bang seru tragis dramatis ganteng,bang unlock caleb di story homecoming wings lahhhhhhh caleb story nya complicated bang seru tragis dramatis ganteng,bang unlock caleb story homecoming wings lahhhhhhh caleb story nya complicated bang seru tragis dramatis ganteng,bang unlock caleb story homecoming wings lahhhhhhh caleb story nya complicated bang seru tragis dramatis ganteng,"bro, unlock the caleb story, homecoming wings, lahhhhhhh, caleb's story is complicated, bro, exciting, tragic, dramatic, handsome"
43:22,,,,,
51:41 mirip banget bang aku susah bedain kamu sama zayne 😍,mirip banget bang aku susah bedain kamu sama zayne,mirip banget bang aku susah bedain kamu sama zayne,banget bang susah bedain zayne,banget bang susah bedain zayne,It's really hard to tell Zayne apart
bang Winda jelek,bang winda jelek,bang winda jelek,bang winda jelek,bang winda jelek,"Bro, Winda is ugly"
Bang sebenernya lu bisa review semua 5 star nya di battle>>>training wkwkwkkw ga perlu gacha buat coba😂,bang sebenernya lu bisa review semua star nya di battletraining wkwkwkkw ga perlu gacha buat coba,bang sebenernya lu bisa review semua star nya di battletraining tertawa ga perlu gacha buat coba,bang sebenernya lu review star nya battletraining tertawa ga gacha coba,bang sebenernya lu review star nya battletraining tertawa ga gacha coba,"Bro, actually, you're reviewing the star of BattleTraining, laughing or not, don't you try it?"
"Ini jujur game keren si, meskipun ini game dibuat untuk cwek,tapi desain² karakter cowoknya beuhh gokil sih bner² mahal desain²nya",ini jujur game keren si meskipun ini game dibuat untuk cwektapi desain karakter cowoknya beuhh gokil sih bner mahal desainnya,ini jujur game keren si meskipun ini game dibuat untuk cwektapi desain karakter cowoknya beuhh gokil sih bner mahal desainnya,jujur game keren si game cwektapi desain karakter cowoknya beuhh gokil sih bner mahal desainnya,jujur game keren si game cwektapi desain karakter cowok beuhh gokil sih bner mahal desain,"Honestly, the girl's game is cool, but the boy character designs are really crazy, really expensive designs"
dibilang so keren tapi di screenshoot😭,dibilang so keren tapi di screenshoot,dibilang so keren tapi di screenshoot,dibilang so keren screenshoot,bilang so keren screenshoot,said so cool screenshot
"Love you bang windah, akhirnya main ini juga",love you bang windah akhirnya main ini juga,love you bang windah akhirnya main ini juga,love you bang windah main,love you bang windah main,love you bro windah main
bangg. lanjutin fear and hunger 2 dong banggg,bangg lanjutin fear and hunger dong banggg,bangg lanjutin fear and hunger dong banggg,bangg lanjutin fear and hunger banggg,bangg lanjutin fear and hunger banggg,Proud to continue Fear and Hunger bro
​@FebrianPutraTriatama Aku lebih ganteng Febri,febrianputratriatama aku lebih ganteng febri,febrianputratriatama aku lebih ganteng febri,febrianputratriatama ganteng febri,febrianputratriatama ganteng febri,febrianputratriatama handsome febri
"GG bang dari aku bocil Sylus, maaf yh tadi aku spam sylus, hehe. THANK YOU BANG BRANDO ❤",gg bang dari aku bocil sylus maaf yh tadi aku spam sylus hehe thank you bang brando,gg bang dari aku bocil sylus maaf yh tadi aku spam sylus hehe thank you bang brando,gg bang bocil sylus maaf yh spam sylus hehe thank you bang brando,gg bang bocil sylus maaf yh spam sylus hehe thank you bang brando,gg bro bocil sylus sorry spam sylus hehe thank you bro brando
lopyuuu bang windahh,lopyuuu bang windahh,lopyuuu bang windahh,lopyuuu bang windahh,lopyuuu bang windahh,lopyuuu bro windahh
"Thanks bang udah review game kesukaan ku, sehat slalu ya bang",thanks bang udah review game kesukaan ku sehat slalu ya bang,thanks bang sudah review game kesukaan ku sehat slalu ya bang,thanks bang review game kesukaan ku sehat slalu ya bang,thanks bang review game suka ku sehat slalu ya bang,"thanks bro, for the review of the game I like, stay healthy, bro"
gg papa windah!!!❤❤,gg papa windah,gg papa windah,gg papa windah,gg papa windah,no papa windah
RESPECTT!! makasiii bang windah uda mainnnn😚,respectt makasiii bang windah uda mainnnn,respectt makasiii bang windah uda mainnnn,respectt makasiii bang windah uda mainnnn,respectt makasiii bang windah uda mainnnn,"Respect, thanks bro, Windah for playing"
lopee banget sama bang windah 🥰🥰,lopee banget sama bang windah,lopee banget sama bang windah,lopee banget bang windah,lopee banget bang windah,"really lopee, bro, beautiful"
bang seret ga lanjut bang,bang seret ga lanjut bang,bang seret ga lanjut bang,bang seret ga bang,bang seret ga bang,"bro, isn't it dragging?"
"keren bang, aku bocil rafayel",keren bang aku bocil rafayel,keren bang aku bocil rafayel,keren bang bocil rafayel,keren bang bocil rafayel,cool bro little boy rafayel
bang lanjut homichiper 🥹,bang lanjut homichiper,bang lanjut homichiper,bang homichiper,bang homichiper,bro homichiper
Gas main game ini lgi bang,gas main game ini lgi bang,gas main game ini lgi bang,gas main game lgi bang,gas main game lgi bang,Gas playing games again bro
"Banggg lanjut main game homichiperrr plssss, mau liatt banh sereettt 😭😭😭😭😭",banggg lanjut main game homichiperrr plssss mau liatt banh sereettt,banggg lanjut main game homichiperrr plssss mau liatt banh sereettt,banggg main game homichiperrr plssss liatt banh sereettt,banggg main game homichiperrr plssss liatt banh sereettt,proud to play the game homichiperrr plssss check it out banh sereettt
woi lanjutin homichiper jangan cuma ngomong doang😠😠😠😠😠😠😡😤😤😰,woi lanjutin homichiper jangan cuma ngomong doang,woi lanjutin homichiper jangan cuma ngomong doang,woi lanjutin homichiper ngomong doang,woi lanjutin homichiper ngomong doang,"Wow, just keep talking homichiper"
gg bang dari aku bocil Rafayel & Caleb 🦫🦫,gg bang dari aku bocil rafayel caleb,gg bang dari aku bocil rafayel caleb,gg bang bocil rafayel caleb,gg bang bocil rafayel caleb,gg bang bang rafayel caleb
Gg btw aku bocil sylus bang,gg btw aku bocil sylus bang,gg by the way aku bocil sylus bang,gg by the way bocil sylus bang,gg by the way bocil sylus bang,gg by the way bocil sylus bro
Gg bang aku bocil caleb,gg bang aku bocil caleb,gg bang aku bocil caleb,gg bang bocil caleb,gg bang bocil caleb,gg bro little boy caleb
