Komentar,Label Asli,Prediksi NB,Prediksi SVM
yeah,Neutral,Neutral,Neutral
"yeah, it's real",Positive,Neutral,Positive
bro love,Positive,Positive,Positive
sulis,Neutral,Neutral,Neutral
oh really played it,Positive,Positive,Positive
succor,Neutral,Neutral,Neutral
"It's funny, it's better if you look at what the banner looks like",Positive,Positive,Positive
"Bro, let's part",Neutral,Neutral,Neutral
many handsome guys in games are still handsome guys,Positive,Positive,Positive
thanks bro windahh,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
"he's all a guy, right?",Positive,Positive,Positive
great time laughing,Positive,Positive,Positive
finally laughed,Positive,Positive,Positive
"Bro, Windah, thank you very much for playing this game, bro, you know, I'm not really excited, pls, I didn't expect it, thank you very much, really",Negative,Positive,Positive
bro,Neutral,Neutral,Neutral
"Bro, play gym simulator Roblox",Neutral,Neutral,Neutral
playing game,Negative,Negative,Negative
"bro, play the endoparasite game bro",Negative,Positive,Negative
"Thank you bro, waiting to change the banner, I'm really laughing, luckily the viewers sawan guys weren't brutal when they announced the live glad, u educate them, thank you, bro, windows",Positive,Positive,Positive
"Wow, didn't expect bro, Windah tried love and deepspace aoakqkqkkak",Positive,Positive,Positive
"Yes, it's my turn to comment positively",Positive,Neutral,Neutral
next game infinity nikki bro,Negative,Neutral,Negative
Githa Xavier Cloud Strife white hair version,Neutral,Neutral,Neutral
"people with minimal literacy don't check first, even though you're twin girls, you're happy to watch a guy who's talking, don't play, it's hatrest, you can just talk",Positive,Positive,Positive
draceempressa hmm,Neutral,Neutral,Neutral
"bro, if you pull companion b combat pull myth pair bro",Neutral,Neutral,Neutral
"littlebodystupidbrain agree, come on bro",Neutral,Neutral,Neutral
bnagg req playing shining nikki the game is good like lads infold too beautiful dress up game suitable for boys and girls because of the male characters too,Positive,Positive,Negative
Yes,Neutral,Neutral,Neutral
story caleb story homing wing caleb,Neutral,Neutral,Neutral
fika,Neutral,Neutral,Neutral
Rafayel guessed it was genuine,Positive,Positive,Positive
continue playing games bro d,Neutral,Neutral,Neutral
homiciper la bro,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
male gwee njirrr,Neutral,Neutral,Neutral
"Boy Winda, you don't play Roblox",Neutral,Neutral,Neutral
we love you bro winduddd,Positive,Positive,Positive
"Waaaaa thanks Bangwin thanks a lot, I know how to play, so I don't like it, please judge, Bangwin, I'm welcome to review because Bangwin, I know how the POV is when playing the game",Positive,Positive,Positive
bro playing castlevania lord of shadow,Neutral,Neutral,Neutral
kievputrajabbar vergil dante devil my cry or not,Neutral,Neutral,Neutral
"Keep up the enthusiasm, Lanang Gasuka fans",Neutral,Neutral,Neutral
I'm handsome,Positive,Positive,Positive
Yes,Neutral,Neutral,Neutral
mantaaaappppppp,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
continued Mr Ucihawin,Neutral,Neutral,Neutral
"I'm a guy, I like the gameplay, I play RPG games, I like using girl characters instead of boys, it's cool, watching something like that, the game is good",Positive,Positive,Positive
"I respect you, bro, Windah doesn't listen to people",Neutral,Neutral,Neutral
"I like Zayne, bro, Sigma Farhan",Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
"bro, caleb's story bro",Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
sylus,Neutral,Neutral,Neutral
"Watch the video, Bang Windah, watch the live chat",Positive,Positive,Positive
bro account,Neutral,Neutral,Neutral
Sis,Neutral,Neutral,Neutral
Yes,Neutral,Neutral,Neutral
It was really fun when I didn't feel like laughing but it was sad that Caleb wasn't unlocked,Negative,Positive,Positive
caleb green flag lots of forest flags,Negative,Neutral,Negative
